Timestamp,Type,Val1,Val2,Val3,Val4,Val5,Val6,Val7
1768361218708,RAW,-7.754883,4.494629,2.256836,,,,
1768361218768,RAW,9.748047,-5.7592773,9.506836,,,,
1768361218829,RAW,8.49707,-11.635742,-15.368164,,,,
1768361218887,RAW,9.62207,-3.2597656,-10.491211,,,,
1768361218896,SWING,2.0552387,3.1540685,-1.003679,0.2937018,-0.1358806,-0.94619,SWINGING
1768361218947,RAW,7.371582,-7.007324,13.009277,,,,
1768361219007,RAW,15.624023,-0.38183594,-2.1186523,,,,
1768361219067,RAW,-9.251465,-9.756836,0.63134766,,,,
1768361219125,RAW,10.247559,13.367676,9.881348,,,,
1768361219134,SWING,1.955907,2.5817108,-1.0665237,0.4548387,-0.2040235,-0.8668889,SWINGING
1768361219185,RAW,-13.126465,9.1171875,14.007324,,,,
1768361219252,RAW,-1.1274414,3.2426758,-3.4921875,,,,
1768361219307,RAW,-2.1274414,1.9931641,-8.241699,,,,
1768361219367,RAW,-11.003418,-7.8813477,-15.867676,,,,
1768361219377,SWING,1.5693208,2.228014,-1.0676378,0.33496198,-0.09735096,-0.9371891,SWINGING
1768361219427,RAW,3.496582,4.120117,-2.868164,,,,
1768361219519,RAW,0.625,-2.7519531,5.504883,,,,
1768361219576,RAW,-5.1240234,9.765625E-4,9.504395,,,,
1768361219587,SWING,1.4391356,1.9208416,1.9834565,0.111621015,0.042351183,0.992848,SWINGING
1768361219636,RAW,-12.998047,11.002441,3.128418,,,,
1768361219696,RAW,5.251953,2.7529297,-14.371582,,,,
1768361219758,RAW,8.126953,15.37793,-15.996582,,,,
1768361219818,RAW,-9.623535,7.876953,-9.121094,,,,
1768361219827,SWING,1.340067,1.6719338,2.0812376,0.46786582,0.29923022,0.8316026,SWINGING
1768361219879,RAW,13.000488,-1.3735352,-5.6206055,,,,
1768361219937,RAW,-4.5,13.125488,5.380371,,,,
1768361219997,RAW,11.374023,-15.875,-6.3691406,,,,
1768361220057,RAW,-8.875977,-15.251465,12.755371,,,,
1768361220066,SWING,1.5784891,1.5765839,1.9091963,0.66164094,0.30733588,0.68394154,SWINGING
1768361220116,RAW,-0.25341797,-2.6289062,-15.244629,,,,
1768361220179,RAW,-4.378418,-6.3828125,4.7558594,,,,
1768361220237,RAW,10.123047,-12.135742,-9.617676,,,,
1768361220300,RAW,-15.626953,0.8642578,-10.118164,,,,
1768361220310,SWING,1.5776964,1.5009418,1.8802595,0.720021,0.41316575,0.5575517,SWINGING
1768361220358,RAW,-8.252441,-2.7578125,-11.240234,,,,
1768361220417,RAW,4.123535,-15.757324,-12.491699,,,,
1768361220479,RAW,0.6230469,8.118164,8.881348,,,,
1768361220538,RAW,-4.001953,-15.506836,3.1308594,,,,
1768361220541,SWING,1.6812999,1.5233376,1.7682427,0.759428,0.39076272,0.5201668,SWINGING
1768361220597,RAW,0.49853516,3.8671875,-5.367676,,,,
1768361220688,RAW,1.4970703,0.2421875,10.633301,,,,
1768361220746,RAW,-14.50293,-7.7578125,-3.9921875,,,,
1768361220756,SWING,1.5513407,1.5457785,1.7591189,0.7732092,0.35954508,0.52237433,SWINGING
1768361220806,RAW,-1.3774414,-6.1313477,3.3823242,,,,
1768361220867,RAW,-11.252441,15.621094,-8.743164,,,,
1768361220930,RAW,5.998535,-12.125977,4.630371,,,,
1768361220989,RAW,9.874512,-8.499023,-12.871094,,,,
1768361221001,SWING,1.7236431,1.622494,1.8018005,0.7648472,0.41150403,0.4956542,SWINGING
1768361221047,RAW,-0.49951172,6.751465,14.628906,,,,
1768361221138,RAW,2.2504883,-3.3730469,-0.99658203,,,,
1768361221169,RAW,-11.249512,8.501953,-0.12109375,,,,
1768361221230,RAW,-9.999512,-14.623047,13.003906,,,,
1768361221241,SWING,1.7993499,1.666666,1.758116,0.7831053,0.42417386,0.4547777,SWINGING
1768361221285,RAW,11.625977,7.626953,-14.871094,,,,
1768361221347,RAW,13.125488,-9.999512,-3.3701172,,,,
1768361221408,RAW,3.8735352,14.124512,8.004395,,,,
1768361221470,RAW,-14.251465,15.997559,-5.620117,,,,
1768361221483,SWING,1.8477186,1.7206705,1.9419769,0.7679956,0.35464492,0.5333006,SWINGING
1768361221526,RAW,15.24707,1.2436523,-13.619141,,,,
1768361221589,RAW,-3.7529297,-0.8847656,-15.370117,,,,
1768361221648,RAW,2.121582,6.3632812,-8.741699,,,,
1768361221712,RAW,12.124023,-15.885742,-12.241699,,,,
1768361221724,SWING,1.9821805,1.7808466,1.788269,0.78732866,0.25441438,0.56159306,SWINGING
1768361221766,RAW,-9.25293,6.616211,9.135254,,,,
1768361221857,RAW,1.6235352,3.8671875,3.2578125,,,,
1768361221917,RAW,3.8740234,-1.8828125,10.129883,,,,
1768361221924,SWING,1.8838888,1.8473562,1.9303151,0.7987328,0.3031728,0.51972324,SWINGING
1768361221978,RAW,10.748047,-8.635254,2.3828125,,,,
1768361222036,RAW,-5.0043945,4.741211,-7.742676,,,,
1768361222097,RAW,-4.129883,-5.3828125,-3.4941406,,,,
1768361222157,RAW,-14.503906,10.368164,-8.744141,,,,
1768361222164,SWING,1.8556156,1.8737507,2.2123697,0.7657456,0.5605456,0.3153128,SWINGING
1768361222216,RAW,10.498535,0.9951172,2.755371,,,,
1768361222276,RAW,-15.502441,-0.12646484,-8.995605,,,,
1768361222337,RAW,-14.250488,13.250488,-11.621094,,,,
1768361222401,RAW,-10.499512,-14.123047,-13.371094,,,,
1768361222407,SWING,1.6723703,1.8483549,2.3563106,0.70466346,0.70741934,0.054839898,SWINGING
1768361222459,RAW,-13.999023,10.127441,2.8793945,,,,
1768361222520,RAW,9.625,-2.2475586,-3.9956055,,,,
1768361222580,RAW,6.0009766,-1.4980469,12.254395,,,,
1768361222637,RAW,0.0,3.2514648,14.129395,,,,
1768361222640,SWING,1.6362511,1.8060614,2.380494,0.6934533,0.7203766,0.01341302,SWINGING
1768361222697,RAW,-4.5004883,8.874512,2.7539062,,,,
1768361222756,RAW,-1.0019531,-2.7524414,4.6289062,,,,
1768361222818,RAW,0.2475586,-11.128906,-8.745605,,,,
1768361222878,RAW,-0.62597656,-7.6342773,1.0058594,,,,
1768361222890,SWING,1.8224341,1.774112,2.2907457,0.7619993,0.6395246,0.10181057,SWINGING
1768361222939,RAW,11.871582,3.237793,0.6308594,,,,
1768361223025,RAW,-8.874023,12.739746,15.3828125,,,,
1768361223089,RAW,12.74707,5.8671875,5.260742,,,,
1768361223097,SWING,1.833525,1.7640393,2.326348,0.7454285,0.6595344,0.096699156,SWINGING
1768361223146,RAW,15.623535,-12.257324,-5.368164,,,,
1768361223209,RAW,-15.751465,-13.632324,10.256348,,,,
1768361223267,RAW,10.12207,6.117676,-3.494629,,,,
1768361223328,RAW,-2.6269531,-10.133301,-0.61816406,,,,
1768361223341,SWING,1.6476878,1.7224537,2.160804,0.7207545,0.5795618,0.38029072,SWINGING
1768361223385,RAW,4.8725586,12.6171875,14.006836,,,,
1768361223448,RAW,3.121582,-14.1328125,15.5078125,,,,
1768361223507,RAW,-11.251953,-15.131348,12.506836,,,,
1768361223567,RAW,-13.75293,3.1206055,2.2558594,,,,
1768361223581,SWING,1.5742393,1.7028275,0.71640664,0.7786254,0.60051954,0.18198533,SWINGING
1768361223625,RAW,-2.6240234,6.998047,-15.244141,,,,
1768361223687,RAW,6.5,-13.999023,-3.4951172,,,,
1768361223747,RAW,0.6254883,5.0024414,0.75390625,,,,
1768361223807,RAW,-10.623535,1.1274414,-12.996094,,,,
1768361223814,SWING,1.5519863,1.6859745,2.3364973,0.72207946,0.69024116,-0.046567656,SWINGING
1768361223866,RAW,5.7504883,-9.74707,-10.746582,,,,
1768361223929,RAW,-1.1245117,-14.623047,10.879395,,,,
1768361223987,RAW,-14.625,2.8764648,-11.495605,,,,
1768361224047,RAW,-1.3759766,-4.375,13.129395,,,,
1768361224058,SWING,1.556997,1.6328871,2.0426686,0.7679293,0.6321835,0.10309496,SWINGING
1768361224105,RAW,-4.8759766,-10.376465,5.0043945,,,,
1768361224168,RAW,-4.0004883,14.371582,5.129883,,,,
1768361224255,RAW,-6.8793945,10.241211,-2.369629,,,,
1768361224259,SWING,1.6120074,1.5885836,-1.5822769,0.73046,0.6532619,0.19919077,SWINGING
1768361224314,RAW,4.748047,6.6132812,13.631348,,,,
1768361224377,RAW,13.373047,7.114258,15.881348,,,,
1768361224439,RAW,-7.3774414,12.116211,-4.864258,,,,
1768361224499,RAW,0.99853516,1.9926758,-12.491211,,,,
1768361224504,SWING,1.6154288,1.5821317,1.7489301,0.7607205,0.648825,-0.018178204,SWINGING
1768361224556,RAW,-9.876953,13.8671875,7.5063477,,,,
1768361224617,RAW,-4.876465,10.741211,14.006348,,,,
1768361224679,RAW,-5.501953,-3.133789,0.0073242188,,,,
1768361224737,RAW,14.121582,1.2416992,-5.993164,,,,
1768361224740,SWING,1.4783727,1.5629584,-0.74295783,0.7221571,0.69147956,-0.018570233,SWINGING
1768361224799,RAW,4.6220703,15.117676,10.132324,,,,
1768361224860,RAW,15.746094,10.368652,-7.3686523,,,,
1768361224918,RAW,6.6220703,0.12060547,-1.8696289,,,,
1768361224974,RAW,-12.001465,-5.126465,5.004883,,,,
1768361224976,SWING,1.4419364,1.5409485,-0.1232796,0.6085167,0.69422966,-0.38438603,SWINGING
1768361225035,RAW,-8.376465,13.875488,7.1289062,,,,
1768361225097,RAW,-1.6245117,12.126465,-12.745605,,,,
1768361225157,RAW,0.125,11.252441,-0.62060547,,,,
1768361225221,RAW,-15.625,-2.7475586,1.0043945,,,,
1768361225228,SWING,1.318497,1.4932483,0.08585413,0.6908958,0.60420173,-0.39699253,SWINGING
1768361225277,RAW,-1.1254883,3.5019531,-0.6196289,,,,
1768361225369,RAW,-2.3774414,-5.498047,-0.61816406,,,,
1768361225430,RAW,12.621582,-0.2475586,0.0078125,,,,
1768361225438,SWING,1.2776085,1.4263686,0.084557526,0.59936714,0.43920833,-0.6692197,SWINGING
1768361225486,RAW,11.496094,-11.747559,-10.9921875,,,,
1768361225547,RAW,-15.75293,12.251953,8.881348,,,,
1768361225607,RAW,-15.250977,-11.749023,-6.6206055,,,,
1768361225671,RAW,0.37597656,8.250488,-10.246094,,,,
